Disease,ICD10code,ICD10codeDescr
Glomerulonephritis and other nephritides,N00.0,Acute nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N00.1,Acute nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N00.2,Acute nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N00.3,Acute nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N00.4,Acute nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N00.5,Acute nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N00.6,Acute nephritic syndrome - Dense deposit disease
Glomerulonephritis and other nephritides,N00.7,Acute nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N00.8,Acute nephritic syndrome - Other
Glomerulonephritis and other nephritides,N00.9,Acute nephritic syndrome - Unspecified
Glomerulonephritis and other nephritides,N01.0,Rapidly progressive nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N01.1,Rapidly progressive nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N01.2,Rapidly progressive nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N01.3,Rapidly progressive nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N01.4,Rapidly progressive nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N01.5,Rapidly progressive nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N01.7,Rapidly progressive nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N01.8,Rapidly progressive nephritic syndrome - Other
Glomerulonephritis and other nephritides,N01.9,Rapidly progressive nephritic syndrome - Unspecified
Glomerulonephritis and other nephritides,N02.0,Recurrent and persistent haematuria - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N02.1,Recurrent and persistent haematuria - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N02.2,Recurrent and persistent haematuria - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N02.3,Recurrent and persistent haematuria - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N02.4,Recurrent and persistent haematuria - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N02.5,Recurrent and persistent haematuria - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N02.6,Recurrent and persistent haematuria - Dense deposit disease
Glomerulonephritis and other nephritides,N02.7,Recurrent and persistent haematuria - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N02.8,Recurrent and persistent haematuria - Other
Glomerulonephritis and other nephritides,N02.9,Recurrent and persistent haematuria - Unspecified
Glomerulonephritis and other nephritides,N03.0,Chronic nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N03.1,Chronic nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N03.2,Chronic nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N03.3,Chronic nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N03.4,Chronic nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N03.5,Chronic nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N03.6,Chronic nephritic syndrome - Dense deposit disease
Glomerulonephritis and other nephritides,N03.7,Chronic nephritic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N03.8,Chronic nephritic syndrome - Other
Glomerulonephritis and other nephritides,N03.9,Chronic nephritic syndrome - Unspecified
Glomerulonephritis and other nephritides,N04.0,Nephrotic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N04.1,Nephrotic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N04.2,Nephrotic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N04.3,Nephrotic syndrome - Diffuse mesangial proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N04.4,Nephrotic syndrome - Diffuse endocapillary proliferative glomerulonephritis
Glomerulonephritis and other nephritides,N04.5,Nephrotic syndrome - Diffuse mesangiocapillary glomerulonephritis
Glomerulonephritis and other nephritides,N04.6,Nephrotic syndrome - Dense deposit disease
Glomerulonephritis and other nephritides,N04.7,Nephrotic syndrome - Diffuse crescentic glomerulonephritis
Glomerulonephritis and other nephritides,N04.8,Nephrotic syndrome - Other
Glomerulonephritis and other nephritides,N04.9,Nephrotic syndrome - Unspecified
Glomerulonephritis and other nephritides,N05.0,Unspecified nephritic syndrome - Minor glomerular abnormality
Glomerulonephritis and other nephritides,N05.1,Unspecified nephritic syndrome - Focal and segmental glomerular lesions
Glomerulonephritis and other nephritides,N05.2,Unspecified nephritic syndrome - Diffuse membranous glomerulonephritis
Glomerulonephritis and other nephritides,N05.3,Unspecified nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis
